0.000000000000000000e+00,7.547086908367757196e-01,6.862448034273658237e-01
1.000000000000000000e+00,5.013678770471109436e-01,7.100706711192911191e-01
2.000000000000000000e+00,7.155767529757620649e-01,7.360364543786590552e-02
3.000000000000000000e+00,8.385068613154642581e-01,7.555658027013367750e-02
4.000000000000000000e+00,6.542545971768132240e-01,7.515868607010679769e-02
5.000000000000000000e+00,4.020327685076235391e-01,3.165936285430990260e-01
6.000000000000000000e+00,7.690487918904295173e-01,5.159891955803473929e-01
7.000000000000000000e+00,2.157833511575654450e-01,3.488763612326917229e-01
8.000000000000000000e+00,6.007076177606928136e-01,1.863196368317042440e-01
9.000000000000000000e+00,2.545719401959188263e-02,7.467139135974537600e-02
1.000000000000000000e+01,6.873336362429047774e-01,7.558988257630994134e-02
1.100000000000000000e+01,6.198109149384123384e-01,7.320903206603623925e-02
1.200000000000000000e+01,3.717163768143957880e-01,7.429537380598952301e-02
1.300000000000000000e+01,3.150268095598782181e-02,7.102146141761578324e-02
1.400000000000000000e+01,6.154907527030640813e-01,7.388391445897873888e-02
1.500000000000000000e+01,6.032716651002736352e-01,7.549728295962356006e-02
1.600000000000000000e+01,1.551611514177153595e-03,6.326479435591321199e-01
1.700000000000000000e+01,7.931569696277575299e-02,4.553588144299296481e-01
1.800000000000000000e+01,6.097439288823993664e-01,3.147047615860187886e-01
1.900000000000000000e+01,9.103365758127031082e-01,7.438327612895997976e-02
2.000000000000000000e+01,8.389540195430771341e-01,5.542895043046490722e-01
2.100000000000000000e+01,4.306995948680612529e-01,7.051823662865452924e-02
2.200000000000000000e+01,6.518275524152982170e-01,2.212831999898230151e-01
2.300000000000000000e+01,5.570700983723445576e-01,1.891337097048022553e-01
2.400000000000000000e+01,6.765443409121442153e-01,7.281544070167318694e-02
2.500000000000000000e+01,1.618020147819808352e-01,7.370669142329794310e-02
2.600000000000000000e+01,9.225475169591281777e-01,7.639216162094783491e-02
2.700000000000000000e+01,1.953072215766288589e-01,7.308736093821205371e-02
2.800000000000000000e+01,4.191672709167664213e-01,1.935841052874961998e-01
2.900000000000000000e+01,2.490320452214664360e-01,5.068855259970497240e-01
